SKU,Barcode,Marca,Nombre,Precio_original,Precio_+20%,Precio_tachado,Stock,Descripcion,Imagen,URL_producto,Proveedor
BC.WPB.00.024.10000,4052572217221,Sw-motech,Bolsa Deposito Pro City Wp 9l Ng,219.98,263.98,220.0,6,,https://estaticos.elmotorista.es/prod_images/sw-motech/505081871art/sw-motech/bolsa-deposito-pro-city-wp-9l-ng-446903_200.webp,bolsa-deposito-pro-city-wp-9l-ng-bc-wpb-00-024-10000,elmotorista.es
TRT.00.787.12000/B,4052572189092,Sw-motech,Anillo Deposito Pro Ng,30.0,36.0,,6,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599316art/sw-motech/anillo-deposito-pro-ng-447019_200.webp,anillo-deposito-pro-ng-trt-00-787-12000-b,elmotorista.es
D0RI40,8430358699793,Shad,Respaldo Riñonera Sh29/Sh33/Sh34 Ng,25.54,30.65,28.37,+10,,https://estaticos.elmotorista.es/prod_images/shad/501585847art/shad/respaldo-rinonera-sh29-sh33-sh34-ng-499492_200.webp,respaldo-rinonera-sh29-sh33-sh34-ng-501585847,elmotorista.es
E344,8019606102171,Givi,Fijacion Piaggio Beverly 250/400/500  05 S/Parrilla,34.72,41.66,42.0,2,,https://estaticos.elmotorista.es/prod_images/givi/502910292art/givi/fijacion-piaggio-beverly-250-400-500-05-s-parrilla-496630_200.webp,fijacion-piaggio-beverly-250-400-500-05-s-parrilla-e344,elmotorista.es
H0NG76ST,8430358622494,Shad,Fijacion Top Master Honda Integra 750 16,106.29,127.55,118.1,1,,https://estaticos.elmotorista.es/prod_images/shad/503906417art/shad/fijacion-top-master-honda-integra-750-16-376379_200.webp,fijacion-top-master-honda-integra-750-16-h0ng76st,elmotorista.es
1B000815,,Piaggio,Soporte Baul Cromado Vespa Primavera Y S Sprint,113.52,136.22,129.0,+10,,https://estaticos.elmotorista.es/prod_images/piaggio/503686798art/piaggio/soporte-baul-cromado-vespa-primavera-y-s-sprint-505122_200.webp,soporte-baul-cromado-vespa-primavera-y-s-sprint-1b000815,elmotorista.es
D0B34106,8430358627338,Shad,Baulete Sh34 New Negro C/ Tapa Carbono,85.84,103.01,95.37,+10,,https://estaticos.elmotorista.es/prod_images/shad/504305281art/shad/baulete-sh34-new-negro-c-tapa-carbono-331876_200.webp,baulete-sh34-new-negro-c-tapa-carbono-50430528111,elmotorista.es
SR6101,8019606150981,Givi,Fijacion Ml Kymco G-Dink 125/300 12/16,107.45,128.94,130.0,4,,https://estaticos.elmotorista.es/prod_images/givi/503527454art/givi/fijacion-ml-kymco-g-dink-125-300-12-16-221287_200.webp,fijacion-ml-kymco-g-dink-125-300-12-16-sr6101,elmotorista.es
EASY15,8019606400208,Givi,Bolsa Túnel Scooter 20l,69.43,83.32,84.0,5,,https://estaticos.elmotorista.es/prod_images/givi/505791920art/givi/bolsa-tunel-scooter-20l-533913_200.webp,bolsa-tunel-scooter-20l-easy15,elmotorista.es
V0YR11ST,8430358511941,Shad,Fijacion Top Master Piaggio Mp3 Yourban 125/300 11/16,77.62,93.14,86.25,5,,https://estaticos.elmotorista.es/prod_images/shad/503247233art/shad/fijacion-top-master-piaggio-mp3-yourban-125-300-11-16-412541_200.webp,fijacion-top-master-piaggio-mp3-yourban-125-300-11-16-v0yr11st,elmotorista.es
